paso,i,j,id,raza,energia,resistente,estado
0,5,5,bacilos_5_5,bacilos,58,True,biofilm
1,5,5,bacilos_5_5,bacilos,58,True,biofilm
paso,i,j,id,raza,energia,resistente,estado
0,4,5,bacilos_5_5_hija,bacilos,28,False,activa
0,5,5,bacilos_5_5,bacilos,28,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,espirilos_5_5_hija,espirilos,35,True,activa
0,5,5,espirilos_5_5,espirilos,35,True,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,espirilos_5_5_hija,espirilos,25,False,activa
0,5,5,espirilos_5_5,espirilos,25,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,bacilos_5_5_hija,bacilos,26,False,activa
0,5,5,bacilos_5_5,bacilos,26,False,activa
1,4,5,bacilos_5_5_hija,bacilos,34,True,activa
1,5,5,bacilos_5_5,bacilos,26,False,inactiva
paso,i,j,id,raza,energia,resistente,estado
0,4,5,espirilos_5_5_hija,espirilos,50,False,activa
0,5,5,espirilos_5_5,espirilos,50,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,espirilos_5_5_hija,espirilos,41,True,activa
0,5,5,espirilos_5_5,espirilos,41,True,activa
1,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
1,5,5,espirilos_5_5,espirilos,47,True,activa
2,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
2,5,5,espirilos_5_5,espirilos,27,True,activa
2,6,5,espirilos_5_5_hija,espirilos,35,False,activa
3,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
3,5,5,espirilos_5_5,espirilos,32,True,activa
3,6,5,espirilos_5_5_hija,espirilos,49,True,activa
4,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
4,5,5,espirilos_5_5,espirilos,38,False,activa
4,6,5,espirilos_5_5_hija,espirilos,31,True,activa
4,7,5,espirilos_5_5_hija_hija,espirilos,36,True,activa
5,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
5,5,5,espirilos_5_5,espirilos,44,False,activa
5,6,5,espirilos_5_5_hija,espirilos,42,True,activa
5,7,5,espirilos_5_5_hija_hija,espirilos,44,True,activa
6,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
6,5,4,espirilos_5_5_hija,espirilos,28,True,activa
6,5,5,espirilos_5_5,espirilos,28,True,activa
6,6,4,espirilos_5_5_hija_hija,espirilos,26,False,activa
6,6,5,espirilos_5_5_hija,espirilos,26,False,activa
6,7,5,espirilos_5_5_hija_hija,espirilos,29,True,activa
6,8,5,espirilos_5_5_hija_hija_hija,espirilos,37,False,activa
7,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
7,5,4,espirilos_5_5_hija,espirilos,40,True,activa
7,5,5,espirilos_5_5,espirilos,42,True,activa
7,6,4,espirilos_5_5_hija_hija,espirilos,35,True,activa
7,6,5,espirilos_5_5_hija,espirilos,40,False,activa
7,7,5,espirilos_5_5_hija_hija,espirilos,37,False,activa
7,8,5,espirilos_5_5_hija_hija_hija,espirilos,25,True,activa
7,9,5,espirilos_5_5_hija_hija_hija_hija,espirilos,36,True,activa
8,4,4,espirilos_5_5_hija_hija,espirilos,27,True,activa
8,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
8,5,4,espirilos_5_5_hija,espirilos,27,True,activa
8,5,5,espirilos_5_5,espirilos,25,True,activa
8,5,6,espirilos_5_5_hija,espirilos,35,True,activa
8,6,4,espirilos_5_5_hija_hija,espirilos,43,True,activa
8,6,5,espirilos_5_5_hija,espirilos,26,False,activa
8,6,6,espirilos_5_5_hija_hija,espirilos,32,False,activa
8,7,5,espirilos_5_5_hija_hija,espirilos,48,False,activa
8,8,5,espirilos_5_5_hija_hija_hija,espirilos,38,True,activa
8,9,5,espirilos_5_5_hija_hija_hija_hija,espirilos,44,True,activa
9,4,4,espirilos_5_5_hija_hija,espirilos,42,False,activa
9,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
9,5,4,espirilos_5_5_hija,espirilos,36,True,activa
9,5,5,espirilos_5_5,espirilos,39,True,activa
9,5,6,espirilos_5_5_hija,espirilos,45,True,biofilm
9,6,4,espirilos_5_5_hija_hija,espirilos,58,True,biofilm
9,6,5,espirilos_5_5_hija,espirilos,35,True,activa
9,6,6,espirilos_5_5_hija_hija,espirilos,43,False,activa
9,7,4,espirilos_5_5_hija_hija_hija,espirilos,26,False,activa
9,7,5,espirilos_5_5_hija_hija,espirilos,26,False,activa
9,8,5,espirilos_5_5_hija_hija_hija,espirilos,45,False,activa
9,9,4,espirilos_5_5_hija_hija_hija_hija_hija,espirilos,26,True,activa
9,9,5,espirilos_5_5_hija_hija_hija_hija,espirilos,26,True,activa
10,3,4,espirilos_5_5_hija_hija_hija,espirilos,27,False,activa
10,4,4,espirilos_5_5_hija_hija,espirilos,27,False,activa
10,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
10,5,4,espirilos_5_5_hija,espirilos,47,True,activa
10,5,5,espirilos_5_5,espirilos,49,True,activa
10,5,6,espirilos_5_5_hija,espirilos,45,True,biofilm
10,6,4,espirilos_5_5_hija_hija,espirilos,58,True,biofilm
10,6,5,espirilos_5_5_hija,espirilos,46,True,activa
10,6,6,espirilos_5_5_hija_hija,espirilos,27,False,activa
10,7,4,espirilos_5_5_hija_hija_hija,espirilos,33,False,activa
10,7,5,espirilos_5_5_hija_hija,espirilos,38,False,activa
10,7,6,espirilos_5_5_hija_hija_hija,espirilos,36,False,activa
10,8,4,espirilos_5_5_hija_hija_hija_hija,espirilos,26,False,activa
10,8,5,espirilos_5_5_hija_hija_hija,espirilos,26,False,activa
10,9,4,espirilos_5_5_hija_hija_hija_hija_hija,espirilos,36,True,activa
10,9,5,espirilos_5_5_hija_hija_hija_hija,espirilos,37,True,activa
11,3,4,espirilos_5_5_hija_hija_hija,espirilos,38,False,biofilm
11,4,4,espirilos_5_5_hija_hija,espirilos,41,False,activa
11,4,5,espirilos_5_5_hija,espirilos,56,True,biofilm
11,5,3,espirilos_5_5_hija_hija,espirilos,30,True,activa
11,5,4,espirilos_5_5_hija,espirilos,30,True,activa
11,5,5,espirilos_5_5,espirilos,30,False,activa
11,5,6,espirilos_5_5_hija,espirilos,45,True,biofilm
11,6,4,espirilos_5_5_hija_hija,espirilos,58,True,biofilm
11,6,5,espirilos_5_5_hija,espirilos,55,True,biofilm
11,6,6,espirilos_5_5_hija_hija,espirilos,41,False,activa
11,7,4,espirilos_5_5_hija_hija_hija,espirilos,43,False,biofilm
11,7,5,espirilos_5_5_hija_hija,espirilos,46,False,activa
11,7,6,espirilos_5_5_hija_hija_hija,espirilos,46,True,activa
11,8,4,espirilos_5_5_hija_hija_hija_hija,espirilos,35,True,activa
11,8,5,espirilos_5_5_hija_hija_hija,espirilos,39,False,activa
11,9,4,espirilos_5_5_hija_hija_hija_hija_hija,espirilos,49,False,activa
11,9,5,espirilos_5_5_hija_hija_hija_hija,espirilos,44,True,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,espirilos_5_5_hija,espirilos,43,False,activa
0,5,5,espirilos_5_5,espirilos,43,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,espirilos_5_5_hija,espirilos,26,False,activa
0,5,5,espirilos_5_5,espirilos,26,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,5,5,espirilos_5_5,espirilos,39,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,cocos_5_5_hija,cocos,40,False,activa
0,5,5,cocos_5_5,cocos,40,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,5,5,cocos_5_5,cocos,61,False,inactiva
